"location","source","target"
"","defaultheader.WhereBuyersMeetSellers","අලෙවිකරුවන් විකුණන්නන් හමුවන ස්ථානය"
"","defaultheader.YouCanPostWithoutHavingAnAccountItIsFastAndFree","ගිණුමක් නොමැතිව ඔබට පළ කිරීම් කළ හැකිය. එය වේගවත් සහ නොමිලයේ වේ!"
"","defaultheader.YourFriendsAdsOnBrand","ඔබේ මිතුරාගේ දැන්වීම <<BRAND>> මත තිබේ"
"","defaultheader.YourLastVisitedAds","ඔබ අවසන් වරට නැරඹූ දැන්වීම්"
"","defaulthtmlhead.2CharactersMinimum","අවම වශයෙන් අකුරු 2"
"","defaulthtmlhead.Add a comment","අදහසක් ඒකතු කරන්න"
"","defaulthtmlhead.AreYouFromCountry","ඔබේ රට <country>ද?"
"","defaulthtmlhead.BidError","<<BRAND>> - Bid Submission"
"","defaulthtmlhead.BrandBehindTheScenes","<<BRAND>> තිරයට පසුපසින්:"
"","defaulthtmlhead.BrowseBrand","<<BRAND>> බ්‍රව්ස් කරන්න"
"","defaulthtmlhead.BuyerInformation","මිලට ගන්නාගේ තොරතුරු"
"","defaulthtmlhead.CheckOurYoutubeChannel","අපගේ <<YOUTUBE>> නාලිකාව පරීක්ෂා කරන්න"
"","defaulthtmlhead.CheckOutOurNewTvAd","නව ටීවී දැන්වීම් පරීක්ෂා කරන්න!"
"","defaulthtmlhead.CookiesHelp","<<BRAND>> - Help with Cookies"
"","defaulthtmlhead.Description1","Online exchange "
"","defaulthtmlhead.Description2"," offers local classified ads for jobs, auctions, for sale, real estate, services, community and events - Post your classified ad for free"
"","defaulthtmlhead.Disclaimer","වගකීමෙන්  බැහැර වීම"
"","defaulthtmlhead.EntireSite","මුළු අඩවිය"
"","defaulthtmlhead.EverythingHasAValueOn_HomePage","Everything has a value on <<LINK_HOME_PAGE>>, sell it now!"
"","defaulthtmlhead.FindAdsInRealEstateForSaleJobsVehiclesAndMoreNextToYourLocation","දේපළ වෙළඳාම, විකිණීම සඳහා, රැකියා, වාහන සහ ඔබ සිටින ස්ථානයට ආසන්න තවත් බොහෝ දේ සොයන්න."
"","defaulthtmlhead.FindOutWhoYouAreAt_HomePage","ඔබ සිටින්නේ කා අසලදැයි සොයන්න<<LINK_HOME_PAGE>>"
"","defaulthtmlhead.FlagItem","ෆ්ලැග් අයිතමය"
"","defaulthtmlhead.FreeClassifiedsInArea","<AREA> හි නොමිලේ ලුහුඬු දැන්වීම්"
"","defaulthtmlhead.GeneralDescription","<AREA> මඟින් රැකියා, විකිණීමට, දේපළ වෙළඳාම්, සේවා, ප්‍රජා සහ අවස්ථා සඳහා ලුහුඬු දැන්වීම් සේවා ලබා දේ"
"","defaulthtmlhead.GeneralKeywords","<AREA> , ලුහුඬු දැන්වීම් , ලුහුඬු දැන්වීම්  ප්‍රචාරණ, රැකියා, විකිණීමට, දේපළ වෙළඳාම්, සේවා, ප්‍රජා, අවස්ථා"
"","defaulthtmlhead.GoBackToThePreviousPage","කළින් ආපසු පිටුව වෙත යන්න."
"","defaulthtmlhead.HaveYouSeenThis","ඔබ මෙය දුටුවේද?"
"","defaulthtmlhead.HelloUsername","හෙලෝ, <<USERNAME>>"
